re,raw_file,converted_file,source_url,source_doc,fields,pressure_available,orientation,grid_shape,nu
100,data/references/lid_driven_cavity/full_field/raw_paddlescience/ldc_Re100.mat,data/references/lid_driven_cavity/full_field/re_0100_paddlescience.npz,https://paddle-org.bj.bcebos.com/paddlescience/datasets/ldc/ldc_Re100.mat,https://paddlescience-docs.readthedocs.io/zh-cn/latest/en/examples/ldc2d_steady/,"x,y,u,v,omega_computed_from_velocity",False,"u/v transposed from MAT to structured y,x grid",256x256,0.01
400,data/references/lid_driven_cavity/full_field/raw_paddlescience/ldc_Re400.mat,data/references/lid_driven_cavity/full_field/re_0400_paddlescience.npz,https://paddle-org.bj.bcebos.com/paddlescience/datasets/ldc/ldc_Re400.mat,https://paddlescience-docs.readthedocs.io/zh-cn/latest/en/examples/ldc2d_steady/,"x,y,u,v,omega_computed_from_velocity",False,"u/v transposed from MAT to structured y,x grid",256x256,0.0025
1000,data/references/lid_driven_cavity/full_field/raw_paddlescience/ldc_Re1000.mat,data/references/lid_driven_cavity/full_field/re_1000_paddlescience.npz,https://paddle-org.bj.bcebos.com/paddlescience/datasets/ldc/ldc_Re1000.mat,https://paddlescience-docs.readthedocs.io/zh-cn/latest/en/examples/ldc2d_steady/,"x,y,u,v,omega_computed_from_velocity",False,"u/v transposed from MAT to structured y,x grid",128x128,0.001
1600,data/references/lid_driven_cavity/full_field/raw_paddlescience/ldc_Re1600.mat,data/references/lid_driven_cavity/full_field/re_1600_paddlescience.npz,https://paddle-org.bj.bcebos.com/paddlescience/datasets/ldc/ldc_Re1600.mat,https://paddlescience-docs.readthedocs.io/zh-cn/latest/en/examples/ldc2d_steady/,"x,y,u,v,omega_computed_from_velocity",False,"u/v transposed from MAT to structured y,x grid",256x256,0.000625
3200,data/references/lid_driven_cavity/full_field/raw_paddlescience/ldc_Re3200.mat,data/references/lid_driven_cavity/full_field/re_3200_paddlescience.npz,https://paddle-org.bj.bcebos.com/paddlescience/datasets/ldc/ldc_Re3200.mat,https://paddlescience-docs.readthedocs.io/zh-cn/latest/en/examples/ldc2d_steady/,"x,y,u,v,omega_computed_from_velocity",False,"u/v transposed from MAT to structured y,x grid",256x256,0.0003125
